"States","Pcrime","Unemployment"
"1","South Dakota ",1881,4.8
"2","New York",2005,8.4
"3","Idaho ",2089,8
"4","North Dakota ",2143,4.3
"5","New Hampshire ",2218,6.3
"6","New Jersey",2291,9.2
"7","Massachusetts",2393,8.4
"8","Pennsylvania",2425,8.1
"9","Maine ",2464,8
"10","Connecticut ",2491,8.2
"11","Iowa ",2522,6
"12","Virginia ",2536,6.7
"13","Vermont ",2620,6.9
"14","Kentucky  ",2705,10.5
"15","West Virginia ",2718,7.9
"16","Wyoming ",2720,6.4
"17","Montana  ",2733,6.2
"18","Wisconsin ",2770,8.5
"19","Colorado ",2819,7.7
"20","Rhode Island ",2845,11.2
"21","Minnesota",2893,8
"22","Alaska ",2920,8
"23","California ",2940,11.4
"24","Nebraska ",2952,4.6
"25","Michigan",2970,13.6
"26","Mississippi ",3287,9.6
"27","Oregon ",3350,11.1
"28","Kansas  ",3385,6.7
"29","Utah",3395,6.6
"30","Nevada ",3456,11.8
"31","Illinois",3498,10.1
"32","Maryland ",3516,7
"33","Oklahoma ",3525,6.4
"34","Hawaii ",3567,6.8
"35","Indiana ",3571,10.1
"36","Delaware ",3595,8.1
"37","Ohio ",3597,10.2
"38","Missouri ",3682,9.3
"39","Louisiana ",3780,6.8
"40","Washington ",3784,8.9
"41","Arizona ",3806,9.1
"42","Arkansas",3911,7.3
"43","New Mexico ",3924,7.2
"44","Texas ",3986,7.6
"45","Tennessee ",4028,10.5
"46","Georgia ",4069,9.6
"47","Florida ",4141,10.5
"48","North Carolina ",4156,10.6
"49","Alabama ",4193,10.1
"50","South Carolina ",4211,11.7
"51","Wash_DC",5105,10.2
